IPN,MPN,Manufacturer,Description,Symbol,Footprint,Current,Voltage,Datasheet
DIO-0000-0001,B340A-13-F,Diodes Incorporated,Schottky 40V 3A,Device:D_Schottky,Diode_SMD:D_SMA,3A,,https://www.diodes.com/assets/Datasheets/ds30891.pdf
DIO-0001-04V7,MM3Z4V7C,On Semi,Zener 4.7V,Device:D_Zener,Diode_SMD:D_SOD-323F,0.2W,4.7V,https://www.mouser.com/datasheet/2/308/1/MM3Z9V1C_D-2315854.pdf
DIO-0001-05V6,MM3Z5V6C,On Semi,Zener 5.6V,Device:D_Zener,Diode_SMD:D_SOD-323F,0.2W,5.6V,https://www.mouser.com/datasheet/2/308/1/MM3Z9V1C_D-2315854.pdf
DIO-0002-0001,US1M-13-F,Diodes Incorporated,"1A Rectifier, 1000V",Device:D,Diode_SMD:D_SMA,1A,1000V,https://www.diodes.com/assets/Datasheets/ds16008.pdf
DIO-0003-0001,BAT54CLT1G,OnSemi,Dual Schottky 30V 200mA common cathode,Diode:BAT54C,Package_TO_SOT_SMD:SOT-23,200mA,30V,https://www.onsemi.com/pdf/datasheet/bat54clt1-d.pdf
DIO-0004-0001,BAV19WS-E3-08,Vishay General Semiconductor - Diodes Division,1A 250V general purpose,Device:D,Diode_SMD:D_SOD-323; D_SOD-323F;D_SOD-323_HandSoldering,1A,250V,https://www.vishay.com/docs/85726/bav19ws.pdf
DIO-0005-0001,BAT54WS,Diotec Semiconductor,Schottky 30V 100mA,Device:D_Schottky,Diode_SMD:D_SOD-323; D_SOD-323F;D_SOD-323_HandSoldering,100mA,30V,https://diotec.com/request/datasheet/bat54ws.pdf
DIO-0006-0001,CMMSH1-40L TR PBFREE,Central Semiconductor Corp,Schottky 40V 1A,Device:D_Schottky,Diode_SMD:D_SOD-123; D_SOD-123F,1A,40V,https://my.centralsemi.com/datasheets/CMMSH1-40L.PDF
DIO-0007-0001,CMMSH1-100G TR PBFREE,Central Semiconductor Corp,Schottky 100V 1A,Device:D_Schottky,Diode_SMD:D_SOD-123; D_SOD-123F,1A,100V,https://my.centralsemi.com/datasheets/CMMSH1-40.PDF
DIO-0008-0013,MMSZ5243BT1G,onsemi,Zener 13V 500mW,Device:D_Zener,Diode_SMD:D_SOD-123; D_SOD-123F,0.5W,13V,https://www.onsemi.com/pdf/datasheet/mmsz5221bt1-d.pdf
DIO-0008-07V5,MMSZ5236B-7-F,Diodes Incorporated,Zener 7.5V 500mW,Device:D_Zener,Diode_SMD:D_SOD-123; D_SOD-123F,0.5W,7.5V,https://www.diodes.com/assets/Datasheets/ds18010.pdf
DIO-0009-0001,1N4148W,SMC Diode Solutions,150mA 75V general purpose ,Device:D,Diode_SMD:D_SOD-123; D_SOD-123F,150mA,75V,https://www.smc-diodes.com/propdf/1N4148W%20N0571%20REV.E.pdf
DIO-0010-0001,"PMEG3050BEP,115",Nexperia USA Inc.,Schottky 30V 5A,Device:D_Schottky,Diode_SMD:D_SOD-128,5A,30V,https://assets.nexperia.com/documents/data-sheet/PMEG3050BEP.pdf
