IPN,MPN,Manufacturer,Description,Symbol,Footprint,Datasheet
ICS-0001-0001,SN65HVD01DRCR,TI,RS-485 Interface with Lo voltage IO supply,g-ics:SN65HVD01,Package_SON:VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm,https://www.ti.com/lit/ds/symlink/sn65hvd01.pdf
ICS-0002-0001,SN74LVC1G04DCKR,TI,Inverters Single 1.65-V to 5.5-V,74xGxx:74LVC1GU04DRL,g-ics:DCK0005A_L,https://www.ti.com/lit/ds/symlink/sn74lvc1g04.pdf
ICS-0003-0001,MCP2558FD-H/SN,Microchip,CAN Interface IC,g-ics:MCP2558FD,Package_SO:SO-8_3.9x4.9mm_P1.27mm,https://www.mouser.com/datasheet/2/268/20005533A-1067161.pdf
ICS-0004-0001,DS2484R+T,Analog Devices,1-Wire Master,g-ics:DS2484R,Package_TO_SOT_SMD:TSOT-23-6;TSOT-23-6_HandSoldering,https://www.analog.com/media/en/technical-documentation/data-sheets/DS2484.pdf
ICS-0005-0001,TXS0102DCUR,Texas Instruments,IC TRANSLTR BIDIRECTIONAL 8VSSOP,g-ics:IC_TXS0102_DCU_DUAL_LVL_TRANS,Package_SO:VSSOP-8_2.3x2mm_P0.5mm,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftxs0102
ICS-0006-0001,SN74LVC1G125DBV,Texas Instruments,IC BUFF NON-INVERT 5.5V SOT23-5,g-ics:IC_74LVC1G125,Package_TO_SOT_SMD:SOT-23-5,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74lvc1g125
ICS-0007-0001,LTC4365CTS8#TRPBF,Analog Devices Inc.,IC OVERVOLTAGE PROT TSOT23-8,g-ics:IC_POWER_CONTROLLER_LTC4365,Package_TO_SOT_SMD:TSOT-23-8;TSOT-23-8_HandSoldering,https://www.analog.com/media/en/technical-documentation/data-sheets/LTC4365.pdf
ICS-0008-0001,SN74LVC1G07DBVR,Texas Instruments,IC BUF NON-INVERT 5.5V SOT23-5,g-ics:IC_74LVC1G07,Package_TO_SOT_SMD:SOT-23-5,https://www.ti.com/lit/ds/symlink/sn74lvc1g07.pdf?ts=1695839538574&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FSN74LVC1G07
ICS-0009-0001,MCP1319T-29LE/OT,Microchip Technology,IC SUPERVISOR 1 CHANNEL SOT23-5,g-ics:IC_MCP1319_RESET_CTL,Package_TO_SOT_SMD:SOT-23-5,https://ww1.microchip.com/downloads/en/DeviceDoc/MCP131X-2X-Voltage-Supervisor-DS20001985E.pdf
ICS-0010-0001,LTC2955ITS8-1#TRMPBF,Analog Devices Inc.,IC CTLR ON/OFF PUSHBUTT TSOT23-8,g-ics:IC_LTC2955-1,Package_TO_SOT_SMD:TSOT-23-8;TSOT-23-8_HandSoldering,https://www.analog.com/media/en/technical-documentation/data-sheets/2955fa.pdf
ICS-0011-0001,SIP32510DT-T1-GE3,Vishay Siliconix,IC PWR SWTCH N-CHAN 1:1 TSOT23-6,g-ics:IC_LOAD_SWITCH_3A_5VMAX,Package_TO_SOT_SMD:TSOT-23-6;TSOT-23-6_HandSoldering,https://www.vishay.com/docs/63577/sip32510.pdf
ICS-0012-0001,LT4321IUF#PBF,Analog Devices Inc.,IC OR CTRLR BRIDGE RECT 16QFN,g-ics:IC_LT4321_BRIDGE_CONTROLLER,Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.15x2.15mm;QFN-16-1EP_4x4mm_P0.65mm_EP2.15x2.15mm_ThermalVias,https://www.analog.com/media/en/technical-documentation/data-sheets/4321f.pdf
ICS-0013-0001,DS2782G+,Analog Devices Inc./Maxim Integrated,IC BATT MON LI-ION 1CELL 10TDFN,g-ics:IC_DS2782G_GAS_GAUGE,g-ics:21-0268_T1034N1_M-AA-XM,https://www.analog.com/media/en/technical-documentation/data-sheets/ds2782.pdf
ICS-0014-0001,FT232HL-TRAY,"FTDI, Future Technology Devices International Ltd",IC HS USB TO UART/FIFO 48LQFP,g-ics:IC_FT232_LQFP,Package_QFP:LQFP-48_7x7mm_P0.5mm,https://ftdichip.com/wp-content/uploads/2023/09/DS_FT232H.pdf
ICS-0015-0001,LT4295IUFD#TRPBF,Analog Devices Inc.,IC POE CNTRL 1 CHANNEL 28QFN,g-ics:IC_LT4295,Package_DFN_QFN:QFN-28-1EP_4x5mm_P0.5mm_EP2.65x3.65mm_ThermalVias,https://www.analog.com/media/en/technical-documentation/data-sheets/LT4295.pdf
ICS-0016-0001,"TL431AQDBZR,215",Nexperia USA Inc.,IC VREF SHUNT ADJ 1% TO236AB,g-ics:REFERENCE_TL431,Package_TO_SOT_SMD:SOT-23,https://assets.nexperia.com/documents/data-sheet/TL431_FAM.pdf
ICS-0017-0001,USB7252CT/KDX,Microchip Technology,IC USB3.2 GEN2 HUB TYPE C,g-ics:IC_USB7252CT_USB_HUB,g-ics:VQFN100_KDX_MCH,https://ww1.microchip.com/downloads/en/DeviceDoc/00003852A.pdf
ICS-0018-0001,LTC4162EUFD-L42#TRPBF,Analog Devices Inc.,IC BATT MON LI-ION 1-8CELL 28QFN,g-ics:IC_LTC4162-L,Package_DFN_QFN:QFN-28-1EP_4x5mm_P0.5mm_EP2.65x3.65mm;QFN-28-1EP_4x5mm_P0.5mm_EP2.65x3.65mm_ThermalVias,http://www.analog.com/media/en/technical-documentation/data-sheets/LTC4162-L.pdf
ICS-0019-0032,AT25DF321A-SH-B,Renesas Electronics Corporation,IC FLASH 32MBIT SPI 100MHZ 8SOIC,g-ics:IC_SPI_FLASH_32MBIT_100MHZ,Package_SO:SO-8_5.3x6.2mm_P1.27mm,https://www.renesas.com/us/en/document/dst/at25df321a-datasheet?language=en
ICS-0020-0001,ELX550AT2 S LL2E ,Intel,IC 10G Ethernet Controller X550,g-ics:IC_ELX550AT2_10G_ETH_CTLR,Package_BGA:BGA-256_17.0x17.0mm_Layout16x16_P1.0mm_Ball0.5mm_Pad0.4mm_NSMD,https://www.mouser.com/datasheet/2/612/ethernet_x550_datasheet-1140612.pdf
ICS-0021-0001,PI3USB302-AZBEX,Diodes Incorporated,IC MUX/DEMUX USB 3.0 20TQFN,g-ics:IC_PI3USB302-AZBEX,g-ics:QFN50P250X450X100-21N_PI3USB302-AZBEX,https://www.diodes.com/assets/Datasheets/PI3USB302-A.pdf
ICS-0022-0001,FUSB301TMX,onsemi,IC CONTROLLER USB 10TMLP,g-ics:IC_FUSB301TMX,g-ics:X2QFN10_1P6X1P2_ONS;X2QFN10_1P6X1P2_ONS-M;X2QFN10_1P6X1P2_ONS-L,https://www.onsemi.com/pdf/datasheet/fusb301-d.pdf
ICS-0023-0001,FT234XD-R,"FTDI, Future Technology Devices International Ltd",IC USB SERIAL BASIC UART 12DFN,g-ics:IC_FT234XD-R,g-ics:DFN-12_FTD;DFN-12_FTD-L;DFN-12_FTD-M,http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT234XD.pdf
ICS-0024-0001,KSZ9021RN,Microchp Technology/Atmel,IC Ethernet GbE Physical Layer Transceiver with RGMII,g-ics:IC_ETHERNET_PHY_KSZ9021RN,g-ics:QFN77-48LD-PL-1 (MICROCHIP),https://ww1.microchip.com/downloads/en/DeviceDoc/KSZ9021RL-RN-Data-Sheet-DS00003050A.pdf
ICS-0025-0001,LAN7430-I/Y9X,Microchip Technology,IC PCIe to GbE Ethernet bridge with MAC and PHY,g-ics:IC_ETHERNET_CTLR_PCIE,g-ics:SQFN48_MCH;SQFN48_MCH-L;SQFN48_MCH-M,https://ww1.microchip.com/downloads/en/DeviceDoc/LAN7430-LAN7431-Data-Sheet-DS00002631D.pdf
ICS-0026-0001,VSC8531XMW-05,Microchip Technology,IC TELECOM INTERFACE 48QFN GigE PHY,g-ics:IC_ETHERNET_PHY_VSC8531XMW,g-ics:QFN-48-1EP_6x6mm_P0.4mm_EP3.3x3.3mm,https://ww1.microchip.com/downloads/en/DeviceDoc/VMDS-10514.pdf
ICS-0027-0001,LT3045IDD#TRPBF,Analog Devices,IC Linear Voltage Regulator IC Positive Adjustable 1 Output 500mA 10-DFN (3x3),g-ics:IC_LT3045_LDO_500MA,Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm,https://www.analog.com/media/en/technical-documentation/data-sheets/LT3045.pdf
ICS-0028-0001,PI7C9X3G816GPBHFCE,Diodes Incorporated,"IC PCIe Packet Switch, 8-Port/16-Lane Interface 324-HFCBGA (19x19)",g-ics:PI7C9X3G816GP,g-ics:BGA-324_19.0x19.0mm_Layout18x18_P1.0mm_Ball0.5mm_Pad0.48mm_NSMD,https://www.diodes.com/assets/Datasheets/PI7C9X3G816GP.pdf
